colgpa,SAT,athlete,hsize,hsrank,hsperc,female
2.04,920,1,10,4,40,1
4,1170,0,940,191,20.31915,0
1.78,810,1,119,42,35.29412,0
2.42,940,0,571,252,44.1331,0
2.61,1180,0,214,86,40.18692,0
3.03,980,0,268,41,15.29851,1
1.84,880,0,311,161,51.76849,0
3.05,980,0,268,101,37.68657,0
3,1240,0,367,161,43.86921,0
2,1230,0,10,3,30,0
2.98,1140,0,334,95,28.44311,1
2.93,1150,0,359,13,3.62117,1
2,1080,1,318,31,9.748427,0
2.21,990,0,192,51,26.5625,1
3.33,1000,0,369,29,7.859078,1
1.07,1050,0,266,134,50.37594,1
2.29,1160,0,145,99,68.27586,1
3.15,1190,0,176,74,42.04546,0
2.65,1030,0,386,81,20.98446,1
2.41,960,1,383,66,17.23238,0
2.39,840,0,107,7,6.542056,0
2.64,920,0,217,65,29.95392,1
2.18,840,0,234,141,60.25641,1
2.84,1000,0,463,133,28.7257,0
2.84,1150,0,595,301,50.58823,1
2.93,1040,0,91,30,32.96703,0
2.29,970,0,436,41,9.403669,1
2.38,1200,0,812,209,25.73892,1
3.92,1090,0,60,2,3.333333,1
2.23,1340,0,376,130,34.57447,0
1.33,740,0,532,390,73.30827,1
2.81,880,0,380,71,18.68421,0
2.09,820,1,228,155,67.98245,0
2.25,1060,0,551,248,45.00908,0
1.9,730,1,482,273,56.639,0
3,820,0,390,102,26.15385,1
2.4,780,1,78,17,21.79487,0
2.16,1040,0,492,92,18.69919,0
2.07,870,0,186,86,46.23656,1
2.21,940,0,185,41,22.16216,0
2,980,1,152,45,29.60526,0
2.91,1020,0,10,2,20,1
3,1180,1,637,255,40.0314,0
2.72,1100,0,12,2,16.66667,0
3.55,1030,0,252,27,10.71429,0
3.25,960,0,10,5,50,1
2.86,910,0,127,28,22.04725,0
2.04,1060,0,13,1,7.692307,0
1.92,880,0,3,1,33.33333,1
3.58,1010,0,28,2,7.142857,1
2.39,700,1,32,22,68.75,0
3.46,930,0,372,67,18.01075,1
3.16,900,0,254,69,27.16535,0
1.03,1090,0,202,121,59.90099,0
3,1120,0,470,78,16.59575,1
2.33,960,1,447,320,71.58836,0
2.45,890,1,124,50,40.32258,0
3.65,1240,0,537,31,5.772812,0
3.61,1090,0,364,50,13.73626,1
3.25,820,0,634,68,10.72555,1
3.81,940,0,342,53,15.49708,0
2.25,820,1,571,344,60.24518,0
2.41,970,1,566,83,14.66431,0
2.82,790,1,597,72,12.0603,0
2.3,1080,0,10,7,70,1
3.27,850,0,310,54,17.41936,1
2.66,850,1,73,5,6.849315,1
2.26,820,1,131,98,74.80916,0
2.33,1120,1,488,20,4.098361,0
2.37,880,1,407,70,17.19902,1
4,1540,0,230,1,0.4347826,0
3.81,780,0,347,38,10.95101,0
3.87,1280,0,203,3,1.477833,1
4,1260,0,217,5,2.304147,1
1.95,830,1,200,84,42,0
2.43,980,0,92,28,30.43478,0
1.21,500,1,457,329,71.99125,0
3,1040,0,361,31,8.587257,0
1.75,930,0,325,26,8,1
1.73,570,1,324,187,57.71605,0
1.84,820,0,303,147,48.51485,1
2.25,1310,0,467,122,26.1242,0
2.13,770,0,100,30,30,1
3.77,1180,0,480,48,10,0
3.22,1310,0,320,30,9.375,0
2.17,1150,0,302,64,21.19205,0
2.77,1130,0,166,33,19.87952,0
3.36,1110,0,204,9,4.411765,1
3.62,1210,0,293,14,4.778157,0
3.7,1090,0,187,6,3.208556,1
2,1040,0,355,82,23.09859,1
